Year,Life_expect,Income ,Country 
1900,49.3,6820,US
1901,50.5,6760,US
1902,50.6,6960,US
1903,49.6,6740,US
1904,50.3,7090,US
1905,50.1,7760,US
1906,50.2,7740,US
1907,51.9,6970,US
1908,52.8,7670,US
1909,51.8,7590,US
1910,53.4,7710,US
1911,54.1,7950,US
1912,53.5,8100,US
1913,54.6,7330,US
1914,55.1,7430,US
1915,54.2,8340,US
1916,54,8020,US
1917,47.2,8650,US
1918,55.3,8680,US
1919,55.4,8490,US
1920,58.3,8130,US
1921,58.1,8470,US
1922,57.5,9420,US
1923,58.5,9530,US
1924,58.5,9600,US
1925,58,10100,US
1926,59.5,10100,US
1927,58.4,10000,US
1928,58.5,10500,US
1929,59.7,9490,US
1930,60.4,8860,US
1931,61.1,7530,US
1932,61,7270,US
1933,60.4,7880,US
1934,61,8850,US
1935,60.5,9720,US
1936,61.2,10400,US
1937,62.5,9800,US
1938,63.2,10500,US
1939,63.4,11300,US
1940,63.9,12800,US
1941,64.7,14200,US
1942,64.4,15400,US
1943,65.2,16400,US
1944,65.7,16000,US
1945,66.4,14500,US
1946,66.8,14100,US
1947,67.4,14600,US
1948,67.8,14100,US
1949,68.2,15200,US
1950,68.3,16100,US
1951,68.5,16400,US
1952,68.9,16900,US
1953,69.7,16500,US
1954,69.7,17400,US
1955,69.8,17400,US
1956,69.6,17400,US
1957,69.8,16900,US
1958,70.1,17900,US
1959,70,18100,US
1960,70.4,18200,US
1961,70.3,19000,US
1962,70.1,19500,US
1963,70.4,20300,US
1964,70.5,21400,US
1965,70.5,22500,US
1966,70.9,22800,US
1967,70.5,23700,US
1968,70.8,24200,US
1969,71,23900,US
1970,71.3,24400,US
1971,71.5,25400,US
1972,71.8,26600,US
1973,72.2,26200,US
1974,72.6,25900,US
1975,73,27000,US
1976,73.3,27900,US
1977,73.6,29200,US
1978,73.9,29900,US
1979,74.1,29500,US
1980,74.4,30000,US
1981,74.6,29100,US
1982,74.7,30100,US
1983,74.8,32000,US
1984,74.9,32900,US
1985,75,33700,US
1986,75.1,34600,US
1987,75.2,35700,US
1988,75.3,36600,US
1989,75.6,36800,US
1990,75.7,36300,US
1991,75.9,37000,US
1992,75.8,37600,US
1993,75.8,38600,US
1994,75.9,39200,US
1995,76.3,40200,US
1996,76.6,41500,US
1997,76.8,42800,US
1998,76.8,44300,US
1999,76.9,45700,US
2000,76.9,45700,US
2001,77,46000,US
2002,77.2,46900,US
2003,77.5,48300,US
2004,77.6,49500,US
2005,77.8,50400,US
2006,78,50900,US
2007,78.2,50400,US
2008,78.4,48600,US
2009,78.7,49500,US
2010,78.8,49900,US
2011,78.9,50600,US
2012,78.9,51200,US
2013,78.9,51200,US
2014,78.8,53200,US
2015,78.6,53600,US
2016,78.6,54500,US
2017,78.6,55700,US
2018,78.6,56700,US
2019,78.6,57500,US
2020,78.7,58200,US
1900,47.2,5180,France
1901,48.2,5090,France
1902,48.6,5190,France
1903,48.3,5220,France
1904,48.6,5310,France
1905,48,5400,France
1906,48.5,5630,France
1907,49.6,5580,France
1908,50.3,5810,France
1909,51.7,5440,France
1910,48.5,5960,France
1911,51.9,6440,France
1912,51.7,6390,France
1913,38.1,5930,France
1914,35.9,5950,France
1915,39.8,6350,France
1916,42.9,5460,France
1917,34.6,4390,France
1918,47.9,5150,France
1919,52,5920,France
1920,53.1,5640,France
1921,55.3,6620,France
1922,55,6880,France
1923,55.7,7660,France
1924,54.8,7640,France
1925,54.5,7790,France
1926,56.2,7620,France
1927,55.9,8120,France
1928,54.7,8640,France
1929,57.4,8310,France
1930,57.4,7770,France
1931,57.8,7260,France
1932,58.2,7770,France
1933,58.9,7690,France
1934,58.9,7490,France
1935,59.4,7780,France
1936,59.7,8230,France
1937,59.5,8190,France
1938,60.2,8790,France
1939,49.9,7410,France
1940,58.2,6070,France
1941,58,5470,France
1942,53.9,5240,France
1943,47.7,4440,France
1944,55.5,4720,France
1945,63,7070,France
1946,64.7,7590,France
1947,66.5,8050,France
1948,65.6,9070,France
1949,67.1,9510,France
1950,66.7,10000,France
1951,68.1,10200,France
1952,68.5,10400,France
1953,69,10800,France
1954,69.3,11400,France
1955,69.5,11800,France
1956,69.9,12400,France
1957,70.8,12600,France
1958,71,12800,France
1959,71.2,13600,France
1960,71.3,14200,France
1961,71.2,14800,France
1962,71.2,15400,France
1963,71.7,16300,France
1964,71.8,16900,France
1965,72,17700,France
1966,72.1,18400,France
1967,72.1,19100,France
1968,72.1,20200,France
1969,72.6,21200,France
1970,72.7,22100,France
1971,72.9,22900,France
1972,73.2,24000,France
1973,73.4,24600,France
1974,73.3,24300,France
1975,73.6,25300,France
1976,74,26200,France
1977,74.3,26800,France
1978,74.5,27600,France
1979,74.7,27900,France
1980,74.9,28100,France
1981,75.1,28700,France
1982,75.3,28900,France
1983,75.6,29200,France
1984,75.8,29600,France
1985,76,30200,France
1986,76.5,30800,France
1987,76.8,32100,France
1988,77,33100,France
1989,77.2,33800,France
1990,77.4,34000,France
1991,77.6,34400,France
1992,77.8,34000,France
1993,78,34700,France
1994,78.2,35300,France
1995,78.4,35700,France
1996,78.7,36400,France
1997,78.8,37500,France
1998,78.9,38600,France
1999,79.2,39900,France
2000,79.3,40400,France
2001,79.5,40500,France
2002,79.7,40600,France
2003,80.3,41400,France
2004,80.6,41800,France
2005,80.8,42500,France
2006,81.1,43300,France
2007,81.2,43100,France
2008,81.4,41700,France
2009,81.6,42300,France
2010,81.8,43000,France
2011,82,42900,France
2012,82.3,43000,France
2013,82.6,43200,France
2014,82.5,45300,France
2015,82.8,43800,France
2016,82.9,44800,France
2017,82.9,45500,France
2018,82.9,46100,France
2019,82.2,42200,France
2020,83.1,44600,France
1900,44.1,5260,German 
1901,44.4,5300,German 
1902,44.7,5520,German 
1903,45,5650,German 
