Year,Life_expect,Income,Country
1900,31.4,1080,Brazil
1901,31.4,1060,Brazil
1902,31.3,1060,Brazil
1903,31.3,1060,Brazil
1904,31.3,1060,Brazil
1905,31.3,1140,Brazil
1906,31.3,1120,Brazil
1907,31.2,1090,Brazil
1908,31.2,1150,Brazil
1909,31.2,1140,Brazil
1910,31.2,1240,Brazil
1911,31.1,1200,Brazil
1912,31.1,1200,Brazil
1913,31.1,1160,Brazil
1914,31.1,1180,Brazil
1915,31.1,1190,Brazil
1916,31.1,1250,Brazil
1917,26.2,1200,Brazil
1918,31,1330,Brazil
1919,31,1430,Brazil
1920,31,1430,Brazil
1921,30.9,1500,Brazil
1922,30.9,1550,Brazil
1923,30.9,1520,Brazil
1924,30.9,1490,Brazil
1925,30.9,1490,Brazil
1926,30.9,1570,Brazil
1927,30.9,1720,Brazil
1928,30.8,1690,Brazil
1929,30.8,1550,Brazil
1930,31.2,1490,Brazil
1931,31.7,1510,Brazil
1932,32.1,1600,Brazil
1933,32.5,1690,Brazil
1934,32.9,1710,Brazil
1935,33.4,1830,Brazil
1936,33.8,1850,Brazil
1937,34.2,1890,Brazil
1938,34.6,1870,Brazil
1939,35.1,1850,Brazil
1940,36.1,1940,Brazil
1941,37.2,1820,Brazil
1942,38.2,2030,Brazil
1943,39.3,2050,Brazil
1944,40.3,2060,Brazil
1945,41.8,2220,Brazil
1946,43.2,2250,Brazil
1947,44.7,2410,Brazil
1948,46.1,2540,Brazil
1949,47.6,2570,Brazil
1950,48,2620,Brazil
1951,48.5,2730,Brazil
1952,49,2780,Brazil
1953,49.5,2910,Brazil
1954,49.9,3080,Brazil
1955,50.4,3070,Brazil
1956,50.9,3210,Brazil
1957,51.4,3460,Brazil
1958,51.9,3680,Brazil
1959,52.4,3910,Brazil
1960,53,4150,Brazil
1961,53.5,4320,Brazil
1962,54,4240,Brazil
1963,54.4,4280,Brazil
1964,54.8,4280,Brazil
1965,55.2,4450,Brazil
1966,55.6,4530,Brazil
1967,56.1,4860,Brazil
1968,56.5,5210,Brazil
1969,56.9,5630,Brazil
1970,57.5,6130,Brazil
1971,58,6720,Brazil
1972,58.6,7500,Brazil
1973,59.2,7950,Brazil
1974,59.8,8200,Brazil
1975,60.4,8860,Brazil
1976,61.1,9120,Brazil
1977,61.7,9390,Brazil
1978,62.3,9830,Brazil
1979,62.7,10.5k,Brazil
1980,63.3,9900,Brazil
1981,63.9,9790,Brazil
1982,64.1,9340,Brazil
1983,64.2,9690,Brazil
1984,64.6,10.3k,Brazil
1985,65.1,10.9k,Brazil
1986,65.7,11.1k,Brazil
1987,66.1,10.9k,Brazil
1988,66.7,11.1k,Brazil
1989,67.3,10.5k,Brazil
1990,67.9,10.5k,Brazil
1991,68.3,10.3k,Brazil
1992,68.4,10.6k,Brazil
1993,68.8,10.9k,Brazil
1994,69.2,11.3k,Brazil
1995,69.5,11.3k,Brazil
1996,70.1,11.5k,Brazil
1997,70.4,11.4k,Brazil
1998,70.8,11.3k,Brazil
1999,71.2,11.6k,Brazil
2000,71.5,11.6k,Brazil
2001,71.8,11.8k,Brazil
2002,72,11.8k,Brazil
2003,72.3,12.3k,Brazil
2004,72.8,12.6k,Brazil
2005,73.1,12.9k,Brazil
2006,73.3,13.6k,Brazil
2007,73.5,14.1k,Brazil
2008,73.7,14k,Brazil
2009,73.8,14.9k,Brazil
2010,74,15.3k,Brazil
2011,74.3,15.5k,Brazil
2012,74.5,15.8k,Brazil
2013,74.8,15.7k,Brazil
2014,75,15.1k,Brazil
2015,75,14.4k,Brazil
2016,75.4,14.5k,Brazil
2017,75.7,14.6k,Brazil
2018,75.8,14.7k,Brazil
2019,73.6,14k,Brazil
2020,76.3,14.4k,Brazil
1900,37.8,5280,Argentina
1901,38.4,4980,Argentina
1902,39,5490,Argentina
1903,39.6,5850,Argentina
1904,40.2,6380,Argentina
1905,41,6450,Argentina
1906,41.8,6340,Argentina
1907,42.6,6700,Argentina
1908,43.4,6780,Argentina
1909,44.2,7010,Argentina
1910,44.7,6870,Argentina
1911,45.3,7160,Argentina
1912,45.9,6960,Argentina
1913,46.4,6050,Argentina
1914,47,5950,Argentina
1915,47.8,5670,Argentina
1916,48.7,5120,Argentina
1917,42.5,5950,Argentina
1918,50.3,6060,Argentina
1919,51.2,6370,Argentina
1920,51.7,6360,Argentina
1921,52.2,6670,Argentina
1922,52.7,7150,Argentina
1923,53.2,7440,Argentina
1924,53.7,7190,Argentina
1925,54.1,7320,Argentina
1926,54.4,7620,Argentina
1927,54.8,7870,Argentina
1928,55.2,8010,Argentina
1929,55.5,7480,Argentina
1930,55.6,6810,Argentina
1931,55.6,6460,Argentina
1932,55.6,6640,Argentina
1933,55.6,7050,Argentina
1934,55.6,7240,Argentina
1935,56.6,7170,Argentina
1936,57.7,7560,Argentina
1937,58.7,7470,Argentina
1938,59.7,7610,Argentina
1939,60.7,7630,Argentina
1940,61.3,7890,Argentina
1941,61.9,7850,Argentina
1942,62.5,7670,Argentina
1943,63.2,8400,Argentina
1944,63.8,7990,Argentina
1945,63.7,8550,Argentina
1946,63.6,9330,Argentina
1947,63.5,9630,Argentina
1948,63.4,9250,Argentina
1949,63.3,9140,Argentina
1950,63.5,9300,Argentina
1951,64.2,8650,Argentina
1952,64.1,8940,Argentina
